Date,Summary,Rating,Title,Pros,Cons,Helpful,URL,Company
26-May-15,Excellent culture!,5,"Current Employee - Brand Designerξin San Francisco, CA","A very collaborative environment, yet you'll get to speak up as an individual. All teams are very supportive and respectful to each other, everyone cares about the company and no egos around here. Perks and benefits are awesome, playful environment, location is great.","Team structure and creative process has rooms to improve, but that's not really cons, it's just growing and it is being improved.",2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
28-May-15,New to the company in engineering but its exciting,4,Current Employee - Anonymous Employeeξ,It is a great atmosphere and a fantastic attitude.  Everything here has the feel of a company that takes care of its people and wants people to enjoy it.  The amenities are real and vibe is great.  It is a company that preaches what it means and means what it preaches.,I have had a hard time adjusting to meeting people and breaking into the company socially.  Since some of the teams are so silo'ed vertically it seems that its hard to interact with people around the company.  Its also growing so fast that I feel like people might be slipping through the cracks.,0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
31-May-15,Great So Far,5,"Current Employee - Government Relationsξin San Francisco, CA","Lyft has cultivated a company culture that seems to fit with its brand promise - friendly, inclusive, and quirky enough to remind you there's a soul behind the slick operations.","The rapid growth will test Lyft's ability to feel like a family. That rapid growth also stretches HR capacity, so recruiting can be a slow process.",4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-Jun-15,Lyft Recruiting,5,Current Employee - Anonymous Employeeξ,"Company is transparent, execs are easy to talk to and accessible, innovation and new ideas are welcome.","Fast moving companies require everyone to work hard. You will be expected to participate so if you're looking for less involved role, this may not be for you.",6,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
12-Jun-15,Brand + Culture = Uplifting,5,"Current Employee - Anonymous Employeeξin San Francisco, CA","Huge upside startup with crazy growth (Make it Happen - Core Value)
More ownership, smaller teams, creating processes (Create Fearlessly - Core Value)
Fun loving Culture, Relaxed work environment, employees treated well (Be Yourself - Core Value)
Industry leading perks and benefits; unlimited PTO, Lyft Credits, Clipper Monthly Credits (Uplift Others - Core Value)
Great world class Engineering team; top level Software...","No shuttle for South Bay (but we get Clipper and Lyft Credit monthly)
Growing out of HQ (too many high fives on the way in - new office in future)",33,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
23-Jun-15,great place to work,5,Current Employee - Anonymous Employeeξ,"great atmosphere and perks, creative environment","low pay, not a ton of opportunities for career advancement",3,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
30-Jun-15,Could do better,4,"Current Employee - Anonymous Employeeξin Oakland, CA","- Free lunch/food
- Commuter benefits (although you could pay $250 for a monthly parking spot) 
- Young/friendly office culture",#NAME?,7,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
13-Jul-15,Changing how we get around,2,Former Employee - Anonymous Employeeξ,Passion for changing the way people get around cities and disrupting an old industry.,Not enough focus. Too many cooks in the kitchen.,4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
8-Aug-15,Fantastic so far...,5,Current Employee - Anonymous Employeeξ,"Great culture, fast moving, high levels of ownership","Crowded office, redundant teams that have very similar roles across orgs",0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
12-Aug-15,"Fun atmosphere, terrible pay",4,"Current Employee - Anonymous Employeeξin San Francisco, CA","Lyft strives hard to create a fun, inclusive, and community driven atmosphere. Catered lunch. Fun events.","No equity for non-executive employees. Low pay. Terrible internal communication. Product focused, not customer focused.",9,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P3.htm?sort.sortType=RD&sort.ascending=true,Lyft
22-Aug-15,Operations Associate,3,"Current Employee - Account Executiveξin San Francisco, CA",Great people to work with and a lot to learn. Moving around within the company is fairly easy. Lots of gimmicky perks like lunch every day and an open kitchen stocked with snacks and drinks and even kombucha and cold brew coffee.,"Horrible support from HR. Salaries are consistently 20-30% under the industry average and they are unwilling to reconsider. Promotions are based on a timeline, not on merit or accomplishments.  There are no end of year bonuses. There is no 401k matching plan; they are ""too small of a company to offer that"". Overall, a great place to get experience for your career, but not a lasting place to continue your career.",14,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
4-Sep-15,Design Contract,5,"Former Employee - Designerξin San Francisco, CA",All of the employees were incredibly kind and amicable. They catered lunch everyday and had really great snack options. The facility was very nice also.,The employees seem overworked. It also seemed like the business was winding down in some ways. I don't think they were able to hire the folks that they needed to.,5,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-Sep-15,Best two years of my life,5,"Current Employee - Anonymous Employeeξin San Francisco, CA","- Amazing culture
- Friendliest employees
- Dog friendly office!!!!
- Opportunity for upward mobility
- Lots of exposure to senior level leadership
- Amazing perks and benefits
- The company really does invest in their employees and makes sure they have all the necessary tools and mentorship needed to succeed",#NAME?,1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
15-Sep-15,LYFT CAMPUS AMBASSADOR,3,"Former Employee - Campus Ambassadorξin Los Angeles, CA",It was really cool to be able to take control of recruiting members to join LYFT on campus. I was able to make a lot of money by having my own sign up code,Receiving your payment was such a pain. You have to trust your LYFT MANAGER to give it to you. You also have to trust him/her to keep track of who gets paid. I feel like I was cheaper out of some funds.,4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
29-Sep-15,Lost what made it special,2,"Former Employee - Operations Managerξin San Francisco, CA","Free lunch, smart and dedicated co-workers at the lower and middle levels, dog-friendly office, monthly Lyft credit (though heavily taxed), health Insurance, beer & wine at team meeting every other week, all the swag you could want.","Low pay compared to other SF companies. No one held accountable for mistakes. Performance reviews are frustrating, slow, and don't reflect time period they supposedly cover. Good luck getting equity. Actionable feedback is difficult to get. No communication across the company; teams just do stuff and don't inform other teams it will affect. No strong leadership. Arbitrary cost-cutting that doesn't seem to make sense.",20,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-Oct-15,Support Associate,3,"Current Employee - Support Associateξin San Francisco, CA","Tasty snacks, mostly fun and vibrant people among middle and lower roles","Incompetent management, lack of internal communication between teams, reckless promotions",14,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
29-Oct-15,Feels like a lot can be improved but huge opportunity for growth ahead. My question is - will it happen quick enough?,4,"Current Employee - Risk Associateξin San Francisco, CA","Small teams, chill culture, beautiful women, good food, amazing data gurus, waking up everyday knowing you're helping solve the ""traffic problem"" is really inspirational",Very little equity. Not enough communication from CEO. Needs more meetings with high level management as the teams feel lost in terms of direction and day to day grudegework,0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
30-Oct-15,Data Scientist,5,"Current Employee - Data Scientistξin San Francisco, CA","As a data scientist at Lyft, I get to own an important algorithm.
My work directly affects the company's success, in an objective and measurable way.
The company's culture encourages ownership and innovation. it's about bottom-line results, and how I achieve them is entirely up to me.
Lyft is a great workplace if you want to own an important piece of the product and take responsibility for its success.",The office is in San Francisco.,3,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
30-Oct-15,Great place with excellent values,5,"Current Employee - Data Scientistξin San Francisco, CA",#NAME?,"Almost always, the A-players at Lyft are those who deeply understand our mission and exemplify our values. They naturally do great work.  Others (a minority) need to be helped, sometimes this is difficult.",2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
1-Nov-15,Cool company with Impactful Projects,5,"Current Employee - Data Analystξin San Francisco, CA",Really interesting work with a really smart team. You will be given a lot of responsibility from the day you join and opportunities to be very impactful,"sometimes things are a little chaotic due to the nature of it being a high intensity work environment. There isn't that much direction a lot of time, but different people will thrive or fail in that environment",3,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P4.htm?sort.sortType=RD&sort.ascending=true,Lyft
2-Nov-15,Focus on product and customer experience,4,"Current Employee - Data Analystξin San Francisco, CA","I left my previous job working in Corporate Strategy for a growing software company to join Lyft as a Data Analyst 5 months ago.  I was looking for an opportunity to drive growth in a company where product and customer experience came first, and while I had experience working in finance and executing executive-facing projects, I came in with little-to-no SQL and formal analytics experience.
Ramp-up time was a brutal...","- Hyper headcount growth means that departments are quickly become siloed and quality mentorship is hard to come by
- Dealing with multiple stakeholders is a constant exercise is managing expectations
- Unclear what the future career development path will look and feel ($$$) like--challenge with any startup",10,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
3-Nov-15,"Excited going in, disappointed going out",3,"Former Employee - Customer Support Associateξin San Francisco, CA","- dog friendly office
- catered lunch and dinner 
- all the snacks you could want 
- dedicated and intelligent co-worker's 
- easily accessible executives
- large opportunity for mentorship","- many management decisions are poorly thought through (ex. The move to Nashville for some teams on operations weakened the support team as members who were not chosen to stay moved on to other opportunities, leaving the remaining members to pick up the slack during a busy holiday time with an increased volume of work) 
- communication across teams is very weak
- upper level management can be ""out of touch"" with mid to...",17,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-Nov-15,"Cool culture, Lack of transparency and growth",3,"Former Employee - Support Associateξin San Francisco, CA","* Company culture is absolutely amazing. Really bright and focused individuals work here and the office is absolutely stunning.
* The catered meals, fully stocked kitchen, cold brew tap and consistent happy hours keep employees really happy.
* ""Free"" rides are cool, but it ended up getting taken out of paychecks so maybe not so cool.
* The people were what made the job worthwhile.","* Pay was not sufficient in order to happily live in the Bay Area. Definitely below industry standard.
* Lack of actual transparency. Lots of news kept in the upper division of the company and not dispersed to all.
* Disconnect between support and upper management.",5,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
15-Nov-15,"Great place to grow yourself, and amazing data",5,"Current Employee - Data Analystξin San Francisco, CA","Lyft is all about the culture. We're working in one of the biggest emerging industries of the decade, and our business outlook is very strong. But there is still a genuineness that filters down from the founders to all the teams that I've worked with, and the people I'm working seem to be the happiest that I've seen in any of my previous companies. 
I've received strong mentorship, and at the same time been able to...","The Data Analytics team at Lyft is very autonomous, but this can lead to the sense that we're are not being put under external pressure to grow and improve. A lot of this motivation has to come from inside you. I'd only recommend working here if you feel personally motivated to perform, and to contribute to the future of human centric transportation. 
The ride-sharing industry may look like a battle front, but Lyft...",14,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
21-Dec-15,Customer Experience Associate,3,Former Employee - Anonymous Employeeξ,"fun culture, tons of perks","tech bro culture, cross-departmental communication non existant",8,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
28-Dec-15,Real Flexibility,3,Former Employee - Anonymous Employeeξ,"Team Work , Flexibility , Agility, Flat mangement","Dogs , nothing else really!!!!!",1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
15-Jan-16,Making Waves,4,Former Employee - Anonymous Employeeξ,Great culture and vision - great leadership and execution,Have to take a long term view - its a long a hard battle,2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
1-Feb-16,Great Place! Great Team!,5,"Current Employee - Anonymous Employeeξin San Francisco, CA","Impact of your work to drivers and passengers
Very smart people
In addition to working with an extremely talented bunch everyone is super kind. 
I've been here less a month and I've learned so much 
Pace of work",Not really a Con but the pace of work can cause you to have to jump in and out of tasks quickly. I like that but I can see why some might call it a con.,2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
3-Feb-16,Excited,5,"Current Employee - Software Engineerξin San Francisco, CA","I'm an onboarding engineer at Lyft. People here are very honest, friendly, and enthusiastic about their jobs, that's one of the biggest reason why I joined Lyft. Communication was fast as people repond quickly to emails. Can't complain on compensation and employee perks :)","San Francisco HQ seemed to have reached its capacity, looking forward to moving to a bigger space.",3,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
4-Feb-16,Working At Lyft,5,"Current Employee - Software Engineerξin Seattle, WA","* Uses lots of off-the-shelf software, only builds new things as necessary
* Modern architecture
* Good leadership in engineering and elsewhere
* Fun culture","* Still figuring out multi-office dynamics
* Not enough people to get everything that needs doing done",6,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P5.htm?sort.sortType=RD&sort.ascending=true,Lyft
4-Feb-16,The best choice I ever made!,5,"Current Employee - Software Engineerξin San Francisco, CA",#NAME?,"The company is fairly young as a whole, but it's still easy to identify good role models. You just have to look around a bit.",4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
8-Feb-16,Early Impressions,5,"Current Employee - Anonymous Employeeξin San Francisco, CA","The logistic and operational problems that the company faces are really interesting, and there seems to be a lot of room for creativity in how one tries to address them. Moreover, the current employees are really nice!",I have none so far!,0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
25-Feb-16,"A lot to learn, but not enough guidance",4,Current Employee - Anonymous Employeeξ,"Great team environment, great people.","Not a lot of guidance, no transparency, lack of communication",1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
11-Mar-16,2 Weeks in and all is well.,5,Current Employee - Anonymous Employeeξ,It's got heart. Great people behind the scenes of this company from the bottom up. I have found that this company values the ideas and the people that are involved with the business.,It's still going thru growing pains as there is a lot that we are making up on our own. Which in turn is great because it gives us the flexibility and freedom to try different things to see what works.,2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
23-Mar-16,Unable to Maintain Quality with Fast Growing Rate of Company,1,"Current Employee - Customer Experience Associateξin San Francisco, CA","- Has great perks: $175 lyft credit, commuter benefits, free snacks and lunch, personal macbook, full access to Udemy courses, One Medical Membership, discounts on select items","- You have to deal with lots of office politics
- No transparency
- There is a lack of communication between different teams
- Salary is not competitive for roles throughout the company
- No opportunity for promotion or growth
- Certain teams are looked down upon. There is definitely a hierarchy - and people make it known openly
- On my direct team, it's a consensus that upper management is trying to make us quit...",12,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
28-Mar-16,"Amazing work culture, great benefits",4,"Current Employee - Anonymous Employeeξin Nashville, TN","Lyft has an amazing company culture that will make you excited to head to work. The people are amazing, and the benefits are great.","Be sure that you ask about your scheduling, as most jobs in (at Nashville HQ) are not your typical M-F, 9-5 positions.",3,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
30-Mar-16,Everything is Awesome,5,"Current Employee - Recruitingξin Seattle, WA",#NAME?,"-I must enter at least 5 words, but can't think of any
-it's a startup, normal risks apply",2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
30-Mar-16,Growing fast,5,"Current Employee - Software Engineerξin San Francisco, CA",The company is growing at an unbelievable speed. This makes everyone excited and I think we're onto something big.,"There is not enough space! 
Due to massive growth not everything is ironed. For example my onboarding process wasn't as smooth.",4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
30-Mar-16,Launch Manager,5,"Former Employee - Launch Managerξin Boston, MA","Great environment 
Great people 
Great leadership",There is no cons here!,1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
1-Apr-16,Great company to work at as an engineer,5,"Current Employee - Software Engineerξin San Francisco, CA","- Great team - good at what they do and fun to be with.  I look forward to seeing my team at work.  Most of the people at lyft are very friendly, willing to help you, and better socially than the stereotypical engineer.
- High technical quality.  There are some very good engineers at lyft who I can learn from
- Fast paced: there aren't many organizational barriers (opposed to a larger company) to shipping code....",#NAME?,10,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P6.htm?sort.sortType=RD&sort.ascending=true,Lyft
29-Apr-16,Driving in Reverse,2,"Former Employee - Operations Managerξin San Francisco, CA","Food, people, culture, Lyft credits","Management is inept. Terrible review and promotion processes. No accountability for terrible decisions. Operational and support plans are trying to solve today's problems with Web 1.0 solutions. Outsource, outsource, outsource.",8,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P7.htm?sort.sortType=RD&sort.ascending=true,Lyft
7-May-16,Great Growing Company!,4,"Current Employee - Anonymous Employeeξin San Francisco, CA","The company culture is AWESOME and everyone seems to be very supportive of one another. 
They really take care of you here and value your opinion. 
Great office with tons of food and snacks in the kitchen plus lunches and dinners. 
Cant wait to see the new office which is suppose to be even bigger!",WFH option would be nice for weekend work on my team.,1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P7.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-May-16,Account Executive,5,"Current Employee - Anonymous Employeeξin San Francisco, CA","- Great work environment and culture
- Amazing people that are very smart and driven
- Great interview process with tons of communication and quick feedback
- Dog friendly!
- Good breakfast options in the office and free lunch!
- Tons of opportunity",None that I can think of.,1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P7.htm?sort.sortType=RD&sort.ascending=true,Lyft
14-May-16,Assistant,3,"Current Employee - Anonymous Employeeξin San Francisco, CA",benefits are really really good,no possibilities of possible carrier,1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P7.htm?sort.sortType=RD&sort.ascending=true,Lyft
20-May-16,These people are your BFFs before you even have an offer,5,"Current Employee - Senior Operations Managerξin San Francisco, CA","- The people are outstanding - really diverse range of people (many ages, good gender balance), all smart, collaborative and unintimidating
- The culture is a very supportive one where everyone helps each other achieve common goals
- People are detached from decisions - you make decisions in teams based on data and gut feelings. If it goes right it's a team success. If it goes wrong, no person is blamed (as far as I've...","It's no longer a startup, if that's what you're looking for. It's enormous and there's many moving parts, and sometimes it can seem a bit chaotic. So, only good if you enjoy that level of chaos.",5,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P7.htm?sort.sortType=RD&sort.ascending=true,Lyft
23-May-16,customer experience,5,"Current Employee - Customer Experience Associateξin Nashville, TN",The people are the best thing about the company. I don't think I saw one person not smiling during the interview process. Everyone acknowledged that they have never had a job like this and loved it. I agree.,There are no cons. This place is great. I see no reason why anyone could not flourish in this environment while having fun at the same time.,2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P7.htm?sort.sortType=RD&sort.ascending=true,Lyft
